,pl_name,hostname,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,has_two_min
30,2M0437 b,2MASS J04372171+2651014,TIC 125843782,Gaia DR2 151499478104075008,1,1,0,Published Confirmed,0,,,,,118.0,1.3,-1.3,0.0,,,,,,,,,1271.31363,317.82841,-317.82841,0.0,4.0,1.0,-1.0,0.0,,,,,1450.0,50.0,-50.0,0.0,0.84,0.11,-0.11,0.0,0.17,0.01,-0.02,0.0,4.5,0.5,-0.5,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m21.73s,69.3405531,+26d51m01.08s,26.850299699999997,128.484,1.196,-1.174,13.0123,0.007392,-0.007392,False
31,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,TIC 206502540,,2,1,0,Published Confirmed,0,,,,,84.0,,,0.0,,,,,,,,,4131.79,317.83,-317.83,0.0,13.0,1.0,-1.0,0.0,,,,,,,,,,,,,0.19,0.02,-0.02,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,,,12.089,0.017,-0.017,False
32,2MASS J01225093-2439505 b,2MASS J01225093-2439505,TIC 11614485,Gaia DR2 5040416186560252416,1,1,0,Published Confirmed,0,,,,,,,,,11.209000000000001,,,0.0,1.0,,,0.0,,,,,,,,,,,,,1600.0,100.0,-100.0,0.0,0.37,0.01,-0.01,0.0,0.35,0.02,-0.02,0.0,4.86,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h22m51.07s,20.712801199999998,-24d39m52.61s,-24.6646128,33.8281,0.0864,-0.086,11.6243,0.0074884,-0.0074884,False
34,2MASS J02192210-3925225 b,2MASS J02192210-3925225,TIC 77111651,Gaia DR2 4963614887043956096,1,1,0,Published Confirmed,0,,,,,156.0,10.0,-10.0,0.0,16.141,0.336,-0.336,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0.0,13.9,1.1,-1.1,0.0,,,,,,,,,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0,4.59,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h19m22.25s,34.842704600000005,-39d25m23.08s,-39.4230767,,,,13.4304,0.007697399999999999,-0.007697399999999999,False
35,2MASS J04414489+2301513 b,2MASS J04414489+2301513,TIC 118893899,Gaia DR2 146487556211644544,1,1,0,Published Confirmed,0,,,,,15.0,,,0.0,,,,,,,,,2383.6,794.5,-794.5,0.0,7.5,2.5,-2.5,0.0,,,,,,,,,,,,,0.02,,,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,17.1815,0.030421899999999998,-0.030421899999999998,False
36,2MASS J12073346-3932539 b,2MASS J12073346-3932539,TIC 102076870,Gaia DR2 3459372646830687104,1,1,0,Published Confirmed,0,,,,,55.0,,,0.0,,,,,,,,,1589.15,635.66,-635.66,0.0,5.0,2.0,-2.0,0.0,,,,,1250.0,200.0,-200.0,0.0,,,,,0.02,,,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,0.6569,-0.644,15.662,0.011251899999999999,-0.011251899999999999,False
38,2MASS J19383260+4603591 b,2MASS J19383260+4603591,TIC 271164763,Gaia DR2 2080063931448749824,2,3,0,Published Confirmed,0,406.0,4.0,-4.0,0.0,,,,,,,,,,,,,,,,,,,,,0.33,0.05,-0.05,0.0,,,,,0.2,0.0,0.0,0.0,0.48,,,0.0,5.51,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.332,6.3885,-6.3885,12.4561,0.0159,-0.0159,False
40,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,TIC 301728657,Gaia DR2 1773355403397635968,1,1,0,Published Confirmed,0,7336.5,1934.5,-584.0,0.0,,,,,10.31,4.37,-4.04,0.0,0.92,0.39,-0.36,0.0,6657.48,26629.91,-6657.48,0.0,20.95,83.79,-20.95,0.0,0.26,0.06,-0.06,0.0,2075.0,70.0,-70.0,0.0,0.12,0.05,-0.04,0.0,0.08,0.06,-0.06,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,,,,15.5475,0.012166,-0.012166,False
41,2MASS J22362452+4751425 b,2MASS J22362452+4751425,TIC 200532605,Gaia DR2 1986772848034988544,1,1,0,Published Confirmed,0,,,,,230.0,20.0,-20.0,0.0,,,,,,,,,3972.875,476.745,-476.745,0.0,12.5,1.5,-1.5,0.0,,,,,,,,,,,,,0.6,0.05,-0.05,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m24.62s,339.10259310000004,+47d51m42.06s,47.861683,69.5737,0.1592,-0.1585,11.1286,0.0061,-0.0061,False
42,30 Ari B b,30 Ari B,TIC 22874788,Gaia DR2 102082477749475200,4,1,0,Published Confirmed,0,345.4,3.8,-3.8,0.0,1.01,0.01,-0.01,0.0,,,,,,,,,,,,,,,,,0.18,0.11,-0.11,0.0,,,,,1.13,0.03,-0.03,0.0,1.16,0.04,-0.04,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h36m57.91s,39.24127360000001,+24d38m52.84s,24.6480103,44.657,0.1039,-0.1034,6.604,0.006,-0.006,False
45,4 UMa b,4 UMa,TIC 356478817,Gaia DR2 1092230803510960640,1,1,0,Published Confirmed,0,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,0.0,,,,,,,,,,,,,,,,,0.432,0.024,-0.024,0.0,,,,,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0.0,1.8,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m12.67s,130.05280990000003,+64d19m40.98s,64.3280504,73.4603,1.18605,-1.18605,3.5681,0.0077,-0.0077,False
46,42 Dra b,42 Dra,TIC 233721425,Gaia DR2 2256800156348230400,2,1,0,Published Confirmed,0,479.1,6.2,-6.2,0.0,1.19,0.01,-0.01,0.0,,,,,,,,,,,,,,,,,0.38,0.06,-0.06,0.0,,,,,22.03,1.0,-1.0,0.0,0.98,0.05,-0.05,0.0,1.71,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h25m59.40s,276.49750530000006,+65d33m48.11s,65.5633652,90.6545,1.3227,-1.3227,3.7535,0.0087,-0.0087,False
47,47 UMa b,47 UMa,TIC 21535479,Gaia DR2 777254360337133312,1,3,0,Published Confirmed,0,1083.2,1.8,-1.8,0.0,2.11,0.04,-0.04,0.0,,,,,,,,,,,,,,,,,0.049,0.014,-0.014,0.0,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h59m27.54s,164.8647611,+40d25m49.78s,40.43049310000001,13.7967,0.0289,-0.0289,4.4698,0.0073,-0.0073,False
57,51 Eri b,51 Eri,TIC 298810162,Gaia DR2 3205095125321700480,3,1,0,Published Confirmed,0,14965.0,12775.0,-4380.0,0.0,14.0,7.0,-3.0,0.0,,,,,,,,,,,,,,,,,0.21,0.19,-0.15,0.0,,,,,1.49,0.05,-0.06,0.0,1.65,0.36,-0.18,0.0,4.31,0.09,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.40074240000001,-02d28m25.77s,-2.4738245,29.7575,0.1213,-0.1203,4.9574,0.0065,-0.0065,False
60,51 Peg b,51 Peg,TIC 139298196,Gaia DR2 2835207319109249920,1,1,0,Published Confirmed,0,4.2307969,7.3e-06,-7.8e-06,0.0,0.05235,0.0007599999999999999,-0.00079,0.0,,,,,,,,,,,,,,,,,0.0042,0.0046,-0.003,0.0,,,,,1.19,0.03,-0.03,0.0,1.07,0.05,-0.05,0.0,4.32,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m28.21s,344.3675399,+20d46m08.74s,20.769095800000002,15.4614,0.0297,-0.0297,4.8576,0.0069,-0.0069,False
65,55 Cnc b,55 Cnc,TIC 332064670,Gaia DR2 704967037090946688,2,5,0,Published Confirmed,0,14.65171,5.3e-05,-5.2e-05,0.0,0.1162,0.0018,-0.0018,0.0,,,,,,,,,,,,,,,,,0.0048,0.0036,-0.0031,0.0,,,,,0.96,0.02,-0.02,0.0,0.97,0.05,-0.05,0.0,4.46,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,12.5855,0.0124,-0.0123,5.2058,0.0061,-0.0061,False
116,6 Lyn b,6 Lyn,TIC 444865362,Gaia DR2 1004358968092652544,1,1,0,Published Confirmed,0,934.3,8.6,-8.6,0.0,2.11,0.11,-0.11,0.0,,,,,,,,,,,,,,,,,0.073,0.036,-0.036,0.0,,,,,5.2,,,0.0,1.44,,,0.0,3.19,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m47.05s,97.6960311,+58d09m40.23s,58.161175300000004,54.6599,0.2734,-0.2734,5.0436,0.0061,-0.0061,False
119,61 Vir b,61 Vir,TIC 422478973,Gaia DR2 3507879565090229888,1,3,0,Published Confirmed,0,4.21487,0.00016,-0.00016,0.0,0.04956,0.00065,-0.00067,0.0,,,,,,,,,,,,,,,,,0.099,0.091,-0.07,0.0,,,,,1.03,0.02,-0.02,0.0,0.91,0.04,-0.04,0.0,4.37,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.085,0.0082,-0.0082,False
124,7 CMa b,7 CMa,TIC 48237215,Gaia DR2 2939555954747554176,1,2,0,Published Confirmed,0,796.0,7.4,-7.4,0.0,1.93,0.01,-0.01,0.0,,,,,,,,,,,,,,,,,0.22,0.07,-0.07,0.0,,,,,4.91,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h36m41.11s,99.171276,-19d15m22.25s,-19.256180800000003,19.8101,0.1648,-0.1648,3.0677,1.8692,-1.8692,False
128,70 Vir b,70 Vir,TIC 95473936,Gaia DR2 3740176925743650688,1,1,0,Published Confirmed,0,116.688,0.0054,-0.0054,0.0,0.481,0.022,-0.022,0.0,,,,,,,,,,,,,,,,,0.3988,0.0019,-0.0019,0.0,,,,,1.89,,,0.0,1.09,,,0.0,3.95,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h28m25.56s,202.1064898,+13d46m34.71s,13.776308499999999,17.9011,0.056,-0.0557,4.2943,0.0075,-0.0075,False
134,75 Cet b,75 Cet,TIC 251095345,Gaia DR2 2500064286492779264,2,1,0,Published Confirmed,0,691.9,3.6,-3.6,0.0,2.1,,,0.0,,,,,,,,,,,,,,,,,0.117,0.048,-0.048,0.0,,,,,10.5,1.0,-1.0,0.0,2.49,0.02,-0.27,0.0,2.63,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,0.72365,-0.72365,4.5054,0.0072,-0.0072,False
135,8 UMi b,8 UMi,TIC 257005016,Gaia DR2 1700658653802527104,1,1,0,Published Confirmed,0,93.4,4.5,-4.5,0.0,0.49,0.03,-0.03,0.0,,,,,,,,,,,,,,,,,0.06,0.18,-0.18,0.0,,,,,9.9,0.4,-0.4,0.0,1.8,0.1,-0.1,0.0,2.57,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,0.651,-0.646,5.96761,0.0064,-0.0064,False
137,81 Cet b,81 Cet,TIC 35725282,Gaia DR2 2495420602212048640,1,1,0,Published Confirmed,0,,,,,2.17,0.17,-0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.4,-0.2,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607000000002,101.26,1.222,-1.222,4.77853,0.0074,-0.0074,False
139,91 Aqr b,91 Aqr,TIC 4610441,Gaia DR2 2630155547353593216,3,1,0,Published Confirmed,0,181.4,0.1,-0.1,0.0,0.7,,,0.0,,,,,,,,,,,,,,,,,0.027,0.026,-0.026,0.0,,,,,11.0,0.1,-0.1,0.0,1.4,0.1,-0.1,0.0,2.52,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m53.88s,348.97450310000005,-09d05m16.11s,-9.0878076,44.0304,0.51325,-0.51325,3.3221,1.9683,-1.9683,False
140,AB Aur b,AB Aur,TIC 96680681,Gaia DR2 156917493449670656,1,1,0,Published Confirmed,0,,,,,93.9,49.3,-49.3,0.0,,,,,,,,,2860.45566,,,0.0,9.0,,,0.0,0.4,0.2,-0.21,0.0,,,,,,,,,2.4,0.2,-0.2,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h55m45.85s,73.9410446,+30d33m03.92s,30.551088800000002,162.127,1.526,-1.498,6.9432100000000005,0.0069,-0.0069,False
141,AB Pic b,AB Pic,TIC 260351540,Gaia DR2 5495052596695570816,1,1,0,Published Confirmed,0,,,,,260.0,,,0.0,,,,,,,,,4290.5,158.9,-158.9,0.0,13.5,0.5,-0.5,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,0.0735,-0.0733,8.2763,0.0062,-0.0062,False
142,AU Mic b,AU Mic,TIC 441420236,Gaia DR2 6794047652729201024,1,2,0,Published Confirmed,0,8.46321,,,0.0,,,,,,,,,,,,,17.1,4.7,-4.5,0.0,0.0538,0.014790000000000001,-0.014159999999999999,0.0,,,,,,,,,0.75,0.03,-0.03,0.0,0.5,0.03,-0.03,0.0,4.39,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.29113689999997,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,6.755,0.032,-0.032,False
152,BD+03 2562 b,BD+03 2562,TIC 366659915,Gaia DR2 3895649725336884736,1,1,0,Published Confirmed,0,481.9,2.7,-2.8,0.0,1.3,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,0.2,0.12,-0.08,0.0,,,,,32.35,8.82,-8.82,0.0,1.14,0.25,-0.25,0.0,1.89,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h50m15.53s,177.56472680000002,+02d45m36.39s,2.7601075,1070.63,63.875,-63.875,8.2014,0.0067,-0.0067,False
153,BD+14 4559 b,BD+14 4559,TIC 230183006,Gaia DR2 1759623813132980864,1,1,0,Published Confirmed,0,268.94,0.99,-0.99,0.0,0.777,,,0.0,,,,,,,,,,,,,,,,,0.29,0.03,-0.03,0.0,,,,,0.95,0.2,-0.2,0.0,0.86,0.15,-0.15,0.0,4.6,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,0.0846,-0.0844,8.7505,0.006,-0.006,False
155,BD+15 2375 b,BD+15 2375,TIC 82604982,Gaia DR2 3924009634910406912,1,1,0,Published Confirmed,0,153.22,0.44,-0.44,0.0,0.576,0.027,-0.027,0.0,,,,,,,,,,,,,,,,,0.001,0.25,-0.001,0.0,,,,,8.95,1.45,-1.45,0.0,1.08,0.14,-0.14,0.0,2.61,0.12,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,45.038,-45.038,9.3605,0.0072,-0.0072,False
156,BD+15 2940 b,BD+15 2940,TIC 393702609,Gaia DR2 1193071962699902336,1,1,0,Published Confirmed,0,137.48,0.34,-0.34,0.0,0.539,,,0.0,,,,,,,,,,,,,,,,,0.26,0.1,-0.1,0.0,,,,,14.7,2.8,-2.8,0.0,1.1,0.2,-0.2,0.0,2.8,0.45,-0.45,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h00m22.95s,240.09564,+15d32m48.30s,15.546750699999999,426.42,6.44,-6.44,8.1004,0.007,-0.007,False
157,BD+20 2457 b,BD+20 2457,TIC 95359428,Gaia DR2 625137162857354880,1,2,0,Published Confirmed,0,379.63,2.0,-2.0,0.0,1.05,0.07,-0.07,0.0,,,,,,,,,,,,,,,,,0.15,0.03,-0.03,0.0,,,,,71.02,73.63,-73.63,0.0,10.83,22.96,-22.96,0.0,1.77,0.19,-0.19,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,189.925,-189.925,8.4752,0.0063,-0.0063,False
